questionId(UUID),Section,Subsection,Question,ResponseType,SubTest,ExtractOrder
5d8d68c7-f494-421c-98f1-328707697d3d,CaseInformation,,FirstName,string,Case History,1
0116dbc8-eefa-4b2c-806a-78e183c0be42,CaseInformation,,LastName,string,Case History,2
da700443-3b89-483f-b2c2-89d2b1b00fc9,CaseInformation,,DateOfBirth,date,Case History,3
dd72a4a5-383c-40f7-a040-e86b7a0c1b0b,CaseInformation,,DateOfTesting,date,Case History,4
68220698-d43b-4662-8957-93fa1320bd60,CaseInformation,,Sex,string,Case History,5
c41d7e38-659e-4fe2-91be-cc5ef5f973f5,CaseInformation,,AboriginalOrTorresStraitIslander,string,Case History,6
52d2d07a-36d8-4f45-ac20-4d4e31d5caad,CaseInformation,,LanguageBackgroundOtherThanEnglish,string,Case History,7
ae7fbe4c-2efd-4c0b-8ab0-0ae9acc0fdf7,CaseInformation,,SpecifyMainLanguageSpokenAtHome,string,Case History,8
06f6b159-4bb4-423a-bd5b-ad987f76f6e1,CaseInformation,,DevelopmentalConcerns,string,Case History,9
a1ac3197-0118-426e-b550-8f1bd6cb768c,CaseInformation,,SpecifyDevelopmentalConcerns,string,Case History,10
dea929de-436a-4e31-b529-7df139c05882,,,Sky,phonetic,Phonology,11
d78c3d99-cac0-4b79-9fce-0f8162dbdf47,,,Stars,phonetic,Phonology,12
c058af59-e8ce-461e-8309-8a6cd96f17ea,,,Broom,phonetic,Phonology,13
c8e95e7a-dfa7-4b62-81ba-7e342b92b8cd,,,Stick,phonetic,Phonology,14
dae1e15c-2ce1-4d74-a87d-2e405a346087,,,Black,phonetic,Phonology,15
91bbe486-36d1-4c26-a8a8-aa87e5bdb03f,,,Boy,phonetic,Phonology,16
4ae0cbf9-7475-4bec-8798-b87e9507c20c,,,Shoes,phonetic,Phonology,17
c4c30083-0f09-4437-9dd9-048c4025220d,,,Ears,phonetic,Phonology,18
2cc1c83b-eca8-4ee6-81ed-d5668f762404,,,Teeth,phonetic,Phonology,19
277de02d-4cfc-47a5-8d6a-852015e3b1be,,,Orange,phonetic,Phonology,20
